query_product,true_reactants,predicted_reactants,true_type,predicted_type,similarity,exact_match,partial_match,same_type
CC(=O)Nc1ccccc1,CC(=O)Cl.Nc1ccccc1,CC(=O)OC(C)=O.Nc1ccccc1,N-acylation,N-acylation,1.0,False,True,True
CCNC(C)=O,CC(=O)Cl.CCN,CC(=O)OC(C)=O.CCN,N-acylation,N-acylation,1.0,False,True,True
CNC(C)=O,CC(=O)Cl.CN,CC(=O)OC(C)=O.CN,N-acylation,N-acylation,1.0,False,True,True
CC(=O)NCCN,CC(=O)Cl.NCCN,CC(=O)OC(C)=O.NCCN,N-acylation,N-acylation,0.6666666666666666,False,True,True
CC(=O)NCCc1ccccc1,CC(=O)Cl.NCCc1ccccc1,CC(=O)Cl.NCc1ccccc1,N-acylation,N-acylation,0.6428571428571429,False,True,True
CC(=O)NC(C)C,CC(=O)Cl.CC(C)N,CC(=O)Cl.CN,N-acylation,N-acylation,0.4117647058823529,False,True,True
CC(=O)NCC(C)C,CC(=O)Cl.CC(C)CN,CC(=O)OC(C)=O.NCCN,N-acylation,N-acylation,0.5,False,False,True
CCCNC(C)=O,CC(=O)Cl.CCCN,CC(=O)OC(C)=O.NCCN,N-acylation,N-acylation,0.7058823529411765,False,False,True
CCCCNC(C)=O,CC(=O)Cl.CCCCN,CC(=O)Cl.CCCN,N-acylation,N-acylation,0.7,False,True,True
CC(=O)NCc1ccccc1,CC(=O)Cl.NCc1ccccc1,CC(=O)OC(C)=O.NCc1ccccc1,N-acylation,N-acylation,1.0,False,True,True
O=C(Nc1ccccc1)c1ccccc1,O=C(Cl)c1ccccc1.Nc1ccccc1,O=C(Cl)c1ccccc1.Nc1ccc([N+](=O)[O-])cc1,N-acylation,N-acylation,0.6333333333333333,False,True,True
CNC(=O)c1ccccc1,O=C(Cl)c1ccccc1.CN,O=C(Cl)c1ccccc1.CCN,N-acylation,N-acylation,0.5769230769230769,False,True,True
CCNC(=O)c1ccccc1,O=C(Cl)c1ccccc1.CCN,O=C(Cl)c1ccccc1.CCCN,N-acylation,N-acylation,0.7037037037037037,False,True,True
O=C(NCc1ccccc1)c1ccccc1,O=C(Cl)c1ccccc1.NCc1ccccc1,O=C(Cl)c1ccccc1.CCN,N-acylation,N-acylation,0.6071428571428571,False,True,True
CCCNC(=O)c1ccccc1,O=C(Cl)c1ccccc1.CCCN,O=C(Cl)c1ccccc1.CCN,N-acylation,N-acylation,0.7037037037037037,False,True,True
CCC(=O)Nc1ccccc1,CCC(=O)Cl.Nc1ccccc1,O=C=Nc1ccccc1.CCN,N-acylation,urea-formation,0.5862068965517241,False,False,False
CCC(=O)NC,CCC(=O)Cl.CN,CCC(=O)Cl.CCN,N-acylation,N-acylation,0.5263157894736842,False,True,True
CCNC(=O)CC,CCC(=O)Cl.CCN,CC(=O)Cl.CCN,N-acylation,N-acylation,0.5263157894736842,False,True,True
O=CNc1ccccc1,O=CC(=O)Cl.Nc1ccccc1,O=C=Nc1ccccc1.Nc1ccccc1,N-acylation,urea-formation,0.4166666666666667,False,True,False
CNC=O,O=CC(=O)Cl.CN,CI.CN,N-acylation,N-alkylation,0.3,False,True,False
CC(=O)Nc1ccccc1,CC(=O)OC(C)=O.Nc1ccccc1,CC(=O)Cl.Nc1ccccc1,N-acylation,N-acylation,1.0,False,True,True
CNC(C)=O,CC(=O)OC(C)=O.CN,CC(=O)Cl.CN,N-acylation,N-acylation,1.0,False,True,True
CCNC(C)=O,CC(=O)OC(C)=O.CCN,CC(=O)Cl.CCN,N-acylation,N-acylation,1.0,False,True,True
CC(=O)NCc1ccccc1,CC(=O)OC(C)=O.NCc1ccccc1,CC(=O)Cl.NCc1ccccc1,N-acylation,N-acylation,1.0,False,True,True
CC(=O)NCCNC(C)=O,CC(=O)OC(C)=O.NCCN,CC(=O)Cl.CCCN,N-acylation,N-acylation,0.7058823529411765,False,False,True
CNc1ccccc1,CI.Nc1ccccc1,CBr.Nc1ccccc1,N-alkylation,N-alkylation,1.0,False,True,True
CNc1ccccc1,CBr.Nc1ccccc1,CI.Nc1ccccc1,N-alkylation,N-alkylation,1.0,False,True,True
CCNC,CI.CCN,CCBr.CN,N-alkylation,N-alkylation,1.0,False,False,True
CNC,CI.CN,CI.CCN,N-alkylation,N-alkylation,0.3333333333333333,False,True,True
CNCc1ccccc1,CI.NCc1ccccc1,O=Cc1ccccc1.CN,N-alkylation,reductive-amination,1.0,False,False,False
CCNc1ccccc1,CCBr.Nc1ccccc1,CCI.Nc1ccccc1,N-alkylation,N-alkylation,1.0,False,True,True
CCNc1ccccc1,CCI.Nc1ccccc1,CCBr.Nc1ccccc1,N-alkylation,N-alkylation,1.0,False,True,True
CCNC,CCBr.CN,CI.CCN,N-alkylation,N-alkylation,1.0,False,False,True
CCNCC,CCBr.CCN,CI.CCN,N-alkylation,N-alkylation,0.45454545454545453,False,True,True
CCNCc1ccccc1,CCBr.NCc1ccccc1,O=Cc1ccccc1.CCN,N-alkylation,reductive-amination,1.0,False,False,False
c1ccc(CNc2ccccc2)cc1,BrCc1ccccc1.Nc1ccccc1,O=Cc1ccccc1.Nc1ccccc1,N-alkylation,reductive-amination,1.0,False,True,False
c1ccc(CNc2ccccc2)cc1,ClCc1ccccc1.Nc1ccccc1,O=Cc1ccccc1.Nc1ccccc1,N-alkylation,reductive-amination,1.0,False,True,False
CNCc1ccccc1,BrCc1ccccc1.CN,CI.NCc1ccccc1,N-alkylation,N-alkylation,1.0,False,False,True
CCNCc1ccccc1,BrCc1ccccc1.CCN,O=Cc1ccccc1.CCN,N-alkylation,reductive-amination,1.0,False,True,False
C=CCNc1ccccc1,C=CCBr.Nc1ccccc1,CCBr.Nc1ccccc1,N-alkylation,N-alkylation,0.48,False,True,True
C=CCNC,C=CCBr.CN,C=CCBr.CCN,N-alkylation,N-alkylation,0.47368421052631576,False,True,True
C=CCNCC,C=CCBr.CCN,C=CCBr.CN,N-alkylation,N-alkylation,0.47368421052631576,False,True,True
CCCNc1ccccc1,CCCBr.Nc1ccccc1,CCC=O.Nc1ccccc1,N-alkylation,reductive-amination,1.0,False,True,False
CCCCNc1ccccc1,CCCCBr.Nc1ccccc1,CCCC=O.Nc1ccccc1,N-alkylation,reductive-amination,1.0,False,True,False
CCCNC,CCCBr.CN,CI.CCN,N-alkylation,N-alkylation,0.46153846153846156,False,False,True
CS(=O)(=O)Nc1ccccc1,CS(=O)(=O)Cl.Nc1ccccc1,O=S(=O)(Cl)c1ccccc1.Nc1ccccc1,N-sulfonylation,N-sulfonylation,0.56,False,True,True
O=S(=O)(Nc1ccccc1)c1ccccc1,O=S(=O)(Cl)c1ccccc1.Nc1ccccc1,Cc1ccc(S(=O)(=O)Cl)cc1.Nc1ccccc1,N-sulfonylation,N-sulfonylation,0.7307692307692307,False,True,True
CNS(C)(=O)=O,CS(=O)(=O)Cl.CN,CS(=O)(=O)Cl.CCN,N-sulfonylation,N-sulfonylation,0.4117647058823529,False,True,True
CCNS(C)(=O)=O,CS(=O)(=O)Cl.CCN,CS(=O)(=O)Cl.CN,N-sulfonylation,N-sulfonylation,0.4117647058823529,False,True,True
Cc1ccc(S(=O)(=O)Nc2ccccc2)cc1,Cc1ccc(S(=O)(=O)Cl)cc1.Nc1ccccc1,O=S(=O)(Cl)c1ccccc1.Nc1ccccc1,N-sulfonylation,N-sulfonylation,0.7307692307692307,False,True,True
